"Nama","Alamat","No. Telp","Website","Jenis Entitas","Jenis Kegiatan","Tgl Input","Keterangan"
"Pinjaman Kredit Piramida","https://apkxoxo.com/app/ixczjdsiio.zdn9ouaofsdasadwes","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman online WOW","https://apkxoxo.com/app/jdjfoeor.egjwaifiosahfuowqeof","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Kano","https://apkxoxo.com/app/kanoaerga.ergfdsgae.rgetrhg","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"KAS KAYA","https://apkxoxo.com/app/kas.kaya.what","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","22/12/2024","SP 8/STPASTI/XI/2024"
"Pinjaman Pudah","https://apkxoxo.com/app/kdsafklwerfgl.onsdfkmriogsr","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Platform Pinjaman Online TaTa","https://apkxoxo.com/app/khsdjiuroswehfo.idsafuwhofdfyhh","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Cepat GBG","https://apkxoxo.com/app/kjhikl.uyoytcyr.xcjyfyij","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Pinjaman Cepat GBG","https://apkxoxo.com/app/kjhikl.uyoytcyr.xcjyfyij","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP 8/STPASTI/XI/2024"
"Pinjaman Cepat ZLH","https://apkxoxo.com/app/kldsnfkkhoi8.qeiooadshoias7qwi","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","07/11/2024","SP-6/STPASTI/VIII/2024"
"Klik TunaiKu","https://apkxoxo.com/app/kliktunaiKu.gp.ktmobile","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Harimau Kecil - Pinjaman Cepat","https://apkxoxo.com/app/ksoikvoiewnvosmvlo.harimaukecil","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","07/11/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Kredit Niuniu","https://apkxoxo.com/app/kusdgf.uodgsalle.fgannniuniu","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"KYL-Pinjaman Angsuran","https://apkxoxo.com/app/kylae.kjrgharegoi.kethkjjkdsfgr","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Cepat Kristal","https://apkxoxo.com/app/lkpoj.ioijlinhohoiho.kristal","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Money Pro - kredit Uang","https://apkxoxo.com/app/loan.finance.credit.pro.kredit","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Dana Cair - Pinjaman Uang Dana Tunai Online Cepat","https://apkxoxo.com/app/loan.id.dana.cair","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Dana Anda","https://apkxoxo.com/app/lpxcst.kfja.oseifr.uwvn","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","18/12/2024","SP-6/STPASTI/VIII/2024"
"Uang Muka Instan Mandy Cash","https://apkxoxo.com/app/mandy.vviasdjikaw","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","20/12/2024","SP 8/STPASTI/XI/2024"
"Rupiah Manis","https://apkxoxo.com/app/manis.rupiah.dollar.id.com.ojk","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Segera tunai","https://apkxoxo.com/app/mob.houdafeng.segeratunai","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"My Rupiah","https://apkxoxo.com/app/my.ojk.rupiah.loanforone.id.com","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Uang duit - pinjam uang cepat online cair","https://apkxoxo.com/app/net.duit.uang","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Pinjaman Kilat-Pinjaman Online Cepat Handphone","https://apkxoxo.com/app/net.gamekilat.pinjamankilat","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2024","SP-6/STPASTI/VIII/2024"
"Kami OKe - Aplikasi Pinjol Langsung Cair","https://apkxoxo.com/app/net.kamoke.pinjol","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","11/11/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Ekspres Kapal Selam","https://apkxoxo.com/app/oiashdo.isaonioahoia.iskdnkaspo","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"OK! Meminjam Uang","https://apkxoxo.com/app/okmu.ynmuapyn","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Oranye-Pinjaman Cepat","https://apkxoxo.com/app/oranye.qwaszxooo","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","07/11/2024","SP-6/STPASTI/VIII/2024"
"Cash Advance – Pinjaman Tanpa Agunan Cepat","https://apkxoxo.com/app/org.dfhl.cashadvance","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Angsuran Paus Biru","https://apkxoxo.com/app/pausbir.uaeradfgrsth.rshsrth","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Adakita -Solusi Pinjaman Cepat","https://apkxoxo.com/app/payindo.ada.kita","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Easy Pintar - Pinjaman Cepat","https://apkxoxo.com/app/payindo.easy.pintar","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Pintar Pinjam - Pinjaman Cepat 8","https://apkxoxo.com/app/payindo.pintar.kredit","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Beras: Pinjaman Stabil","https://apkxoxo.com/app/pbps83.yndkpbpsmbap","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman AI","https://apkxoxo.com/app/pinjaman.ai.app","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman 999","https://apkxoxo.com/app/pinjaman.app999","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Dompet-Dana Online","https://apkxoxo.com/app/pinjaman.dompet.dana.uang","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjam uang:Butuh uang","https://apkxoxo.com/app/pinjamuang.butuhuang","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"PINJAM TUNAI","https://apkxoxo.com/app/pintunai.rinxunai.minkun","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Pinjaman Cepat","https://apkxoxo.com/app/plus.H5A70B657","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","08/11/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Merpati Perdamaian","https://apkxoxo.com/app/pmpynonjdk.wspy.ckdj","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Beruang Bantuan","https://apkxoxo.com/app/pohonpinamn.iiucft.iftb.rqxon.dgtd","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","18/02/2025","SP 1/STPASTI/I/2025"
"Platform Pinjaman Cepat SDK","https://apkxoxo.com/app/ppufdhewiufwfeiufeuwifhew.sdk","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Prioritas-Pinjaman Online","https://apkxoxo.com/app/priorita.saerhgaerhae.hwsef","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","22/12/2024","SP-6/STPASTI/VIII/2024"
"KSP REJEKI RAKYAT","https://apkxoxo.com/app/rejeki.ksp.rakyat.good.id","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Pinjaman Angsuran Renren","https://apkxoxo.com/app/renren.oilasdioqenjevopoqlwfniu","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Angsuran Ty","https://apkxoxo.com/app/rgkdo.rewoiglkdfgioiwor4gmklr","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Cepat Online RAC","https://apkxoxo.com/app/rtsrtsuy.rtsujdytrj","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Dana Uang - Pinjaman Kredit","https://apkxoxo.com/app/ruixiang.uang.loan.dana","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","20/12/2024","SP-6/STPASTI/VIII/2024"
"Rupiah Now-Pinjama Dana Online","https://apkxoxo.com/app/rupiahnow.dia.ying","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Pinjaman Rusa Cepat","https://apkxoxo.com/app/rusafj.dgrihgdfuige.oitrgo","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"KSP Saldo Top","https://apkxoxo.com/app/saldo.top.app","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Dana Flow-Pinjama dana cepat","https://apkxoxo.com/app/sejah.flowcash.fwid","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Dana Pro - PINJAMAN CEPAT","https://apkxoxo.com/app/singlealias.ficonfig.danapromax","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"BEruang bantuan","https://apkxoxo.com/app/skfpaq.ctnncu.ejcsn.sugp.reytja","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"SuryaRupiah-Uang Online","https://apkxoxo.com/app/suryarupiah.pinjams","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"SuryaRupiah-Uang Online","https://apkxoxo.com/app/suryarupiah.pinjams","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","22/12/2024","SP 8/STPASTI/XI/2024"
"DanaBag - Pinjaman Uang Online Dana Cair","https://apkxoxo.com/app/tas.dana.sw.id.com","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"TTR-Pinjaman Cepat","https://apkxoxo.com/app/ttrsaf.hsafalnsdgowg.sldgnwrg","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"TUNAI LEKAS","https://apkxoxo.com/app/tunai.to.lekas","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","18/02/2025","SP 1/STPASTI/I/2025"
"Uang Besar Online","https://apkxoxo.com/app/uang.besar.app","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","22/12/2024","SP 8/STPASTI/XI/2024"
"Uang besar","https://apkxoxo.com/app/uangbesar.semut.id","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","20/12/2024","SP 8/STPASTI/XI/2024"
"Pinjaman Uang Super","https://apkxoxo.com/app/uangsuper.jkosergluwsergh","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Tanpa Jaminan Rocket","https://apkxoxo.com/app/udjbu.efbunanvjuiwudnbkqa.iuiubj","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","20/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Keuangan VVX","https://apkxoxo.com/app/uifdsu.ihsudihuisa.dqfwesaedfvds","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP-6/STPASTI/VIII/2024"
"258-Pinjaman Online Cepat","https://apkxoxo.com/app/uisr.h258aijrguoih.guirewng","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Rupiah Plus","https://apkxoxo.com/app/uni.rupiah.plus.loan.pinjaman","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Rupiah Cash","https://apkxoxo.com/app/uni.rupiahcash.loan.pinjam","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Ve-lot Online:Pinjaman Pnstan","https://apkxoxo.com/app/velotjka.yuaergbaklg.bajergbawr","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","18/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Cepat Hhemat Waktu","https://apkxoxo.com/app/waktu.saknaskdnaskjcaiusclkenk","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Witop-Pinjaman Cepat","https://apkxoxo.com/app/witopl.jakglKJjkg.rhre","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 4/STPASTI/VI/2024"
"Xiangyang-Pinjaman Kredit","https://apkxoxo.com/app/xiangyan.gaeaehr.aehaeh","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Dana Pro - Cepat Uang Dana","https://apkxoxo.com/app/xing.fly.pro","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","18/02/2025","SP 1/STPASTI/I/2025"
"Kami Sediain – Pinjol yang Paling Mudah","https://apkxoxo.com/app/xom.kamisediain.pinjol","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","21/12/2024","SP 8/STPASTI/XI/2024"
"Rupiah Sigap","https://apkxoxo.com/app/xyz.rupiah.sigap.pinjol","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP 8/STPASTI/XI/2024"
"Siap Tunai - ""Tunaikan"" danamu","https://apkxoxo.com/app/xyz.siap.tunai.pinjol","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","18/02/2025","SP 1/STPASTI/I/2025"
"Pinjaman Mikro Cepat BF","https://apkxoxo.com/app/ybajskd.jkdjkfgsfhg.dfhfrhds","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","19/12/2024","SP-6/STPASTI/VIII/2024"
"Pinjaman Tanpa Agunan YB","https://apkxoxo.com/app/ybybj.asgudiuis.afoidsaf","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","18/12/2024","SP-6/STPASTI/VIII/2024"
"Sinar Rpro - Pinjaman Dana","https://apppage.net/preview/com.sinarproloan.android","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"KSP Dakin","https://apppcdownload.com/ksp-dakin/","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","18/02/2024","SP 01/STPASTI/II/2024"
"KreditKu-Uang Online","https://asospy.com/download/com.kreditku.kuindo","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Dana Cash","https://dana-cash.id.uptodown.com/android","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","08/09/2025","SP 2/STPASTI/III/2025"
"Dana Dompet-Pinjaman Online","https://dana-dompet-pinjaman-online.softonic-id.com/android","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Dana Kilat-Pinjaman Online Tunai Aman","https://dana-kilat-pinjaman-online-dana-tunai-aman.softonic-id.com/android","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Dana Pay","https://dana-pay.softonic-id.com/android","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"DanaKu—Kredit Cepat Pinjaman Uang Online","https://danaku-kredit-cepat-pinjaman-uang-online.id.aptoide.com/app","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Dewa Penolong - Pinjaman easy","https://dewa-penolong-pinjaman-easy.softonic-id.com/android","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","13/11/2023","SP 08/STPASTI/XI/2023"
"Dompet Beruntung","https://dompet-beruntung.id.uptodown.com/android","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","08/09/2025","SP 2/STPASTI/III/2025"
"URL Facebook","https://emiten.ojk.go.id/Satgas/AlertPortal/Create","Tidak Tersedia","Tidak Tersedia","Fintech Ilegal","Peer To Peer Lending","07/01/2024","SP 11/STPASTI/XII/2023"
"pinjaman dana pribadi","https://facebook.com/groups/194728996176475/","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Pinjaman Uang  Amanah  Tanpa  Aplikasi  & Tanpa Biaya Admin (Pinjaman Pribadi)","https://facebook.com/groups/488057069944043/","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Go Saldo","https://go-saldo.id.uptodown.com/android","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Go Saldo","https://go-saldo.id.uptodown.com/android","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","08/09/2025","SP 2/STPASTI/III/2025"
"ALI Uang - Pinjaman Uang Tunai Mudah Flash Cepat","https://happymod.com/ali-uang-pinjaman-uang-tunai-mudah-flash-cepat- mod/com.aliuang/original.html","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Dana Pay","https://id.ldplayer.net/apps/dana-pay-on-pc.html","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Easy Dana - Pinjaman Tunai Uang","https://id.ldplayer.net/apps/easy-dana-pinjaman-tunai-uang-on-pc.html","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Dana Easy-Pinjaman Online","https://id.ldplayer.net/downloads/dana-easy-pinjaman-online-apk.html","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","20/02/2025","SP 1/STPASTI/I/2025"
"Dana Kelinci-Selamat Cash","https://id.ldplayer.net/downloads/dana-kelinci-selamat-cash-apk.html","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Pinjaman dana cicil","https://id.ldplayer.net/downloads/pinjaman-dana-cicil-apk.html","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Busines Investama","https://instagram.com/busiiness_investama?igshid=MzMyNGUyNmU2YQ==","Tidak Diketahui","Tidak Diketahui","Investasi Ilegal","Lain - Lain","12/05/2024","SP 3/STPASTI/III/2024"
"Charisma Investama","https://instagram.com/charisma.investama?igshid=NzZlODBkYWE4Ng==","Tidak Diketahui","Tidak Diketahui","Investasi Ilegal","Lain - Lain","06/05/2024","SP 3/STPASTI/III/2024"
"Flash Duit","https://m.apkpure.com/flash-duit-pinjaman-terbaik-masa- kini/com.w5efc5a9.flashduit.kreditlist","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Go Saldo","https://m.apkpure.com/id/go-saldo/com.plutoaa.gosaldo","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"GoStar","https://m.apkpure.com/id/gostar/com.gostar.oplicakoter","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Malaikat","https://m.apkpure.com/id/malaikat/id.corp.malaikat","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Pinjam Uang Kilat","https://m.apkpure.com/id/pinjam-uang-kilat/com.ylfcf.PinjamUa","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Pinjam Uang Kilat","https://m.apkpure.com/id/pinjam-uang-kilat/com.ylfcf.PinjamUa","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"UangUang","https://m.apkpure.com/id/uanguang/com.dana.uang","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"KooRupiah - Pinjaman Uang","https://m.apkpure.com/koorupiah-pinjaman-uang/com.kr1.cashloan","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","14/11/2023","SP 08/STPASTI/XI/2023"
"Pinjaman Hoki Pinjaman Tips","https://m.apkpure.com/pinjaman-hoki-pinjaman-tips/com.rasafidroid.pinjamanhoki","Tidak Diketahui","Tidak Diketahui","Fintech Ilegal","Peer To Peer Lending","13/11/2023","SP 08/STPASTI/XI/2023"
"Pinjam Segera-Pinjaman Online","https://pinjam-segera-pinjaman-online.softonic-id.com/iphone","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","20/02/2025","SP 1/STPASTI/I/2025"
"Pinjaman Kilat-Tunai Mudah","https://pinjaman-kilat-tunai-mudah.softonic-id.com/android","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Dana Kelinci","https://pinjamanapk.com/dana-kelinci","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","19/02/2025","SP 1/STPASTI/I/2025"
"Cash Dompet-Kredit Uang","https://play.google.com/store/apps/datasafety?id=com.cashdom.uang&hl=id&gl=US","Tidak Tersedia","Tidak Tersedia","Fintech Ilegal","Peer To Peer Lending","07/01/2024","SP 11/STPASTI/XII/2023"
"Super Wallet Pinjaman Clue","https://play.google.com/store/apps/details?id=adenium.loans.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Pinjamindo Pinjaman Clue","https://play.google.com/store/apps/details?id=agapanthus.loans.pinjaman.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Dana Arisan Pinjaman Clue","https://play.google.com/store/apps/details?id=alstroemeria.pinjaman.cepat.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Pinjaman Mudah Kredit Clue","https://play.google.com/store/apps/details?id=alyssum.credit.card.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Pinjaman Tunai BAA","https://play.google.com/store/apps/details?id=baahnarew.goihaegrk.laerg","Tidak diketahui","Tidak diketahui","Fintech Ilegal","Peer To Peer Lending","08/07/2023","Pinjaman Online Ilegal"
"Pinjaman Cepat Kristal Guide","https://play.google.com/store/apps/details?id=bajilive.baji999.lotus.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Pinjaman Tunai BAA Guide","https://play.google.com/store/apps/details?id=bamboo.wall.trend.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Aktivaku Pinjaman Online guide","https://play.google.com/store/apps/details?id=betvisa.betting.betvisaapk.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Kantun online Pinjaman Clue","https://play.google.com/store/apps/details?id=cake.creamy.fast.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Duku Dana Pinjaman Online Clue","https://play.google.com/store/apps/details?id=camellia.pink.red.loans.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"MEKAR Pinjaman Dana Clue","https://play.google.com/store/apps/details?id=chocolate.sweet.hd.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
"Cash Cepat Pinjaman Clue","https://play.google.com/store/apps/details?id=clover.card.lopp.chokoojourney","tidak diketahui","tidak diketahui","Fintech Ilegal","Peer To Peer Lending","09/09/2023","SP-07/STPAKI/IX/2023"
